name,rating,Duration,Year,Genre,Gross_income
Sicario: Day of the Soldado,7.1,122,2018,Action Adventure Crime,50072235
Belle,7.2,121,2021,Animation Adventure Drama,50072235
Star Trek Into Darkness,7.7,132,2013,Action Adventure Sci-Fi,228778661
The Rocketeer,6.5,108,1991,Action Adventure Family,46704056
Sucker Punch,6.0,110,2011,Action Adventure Fantasy,36392502
Men in Black 3,6.8,106,2012,Action Adventure Comedy,179020854
The King's Daughter,5.1,90,2022,Action Adventure Family,179020854
Sherlock Holmes,7.6,128,2009,Action Adventure Mystery,209028679
Deep Blue Sea,5.9,105,1999,Action Adventure Sci-Fi,73648142
Brave,7.1,93,2012,Animation Adventure Comedy,237283207
The Mummy Returns,6.4,130,2001,Action Adventure Fantasy,202019785
Frozen II,6.8,103,2019,Animation Adventure Comedy,477373578
Holes,7.0,117,2003,Adventure Comedy Drama,67406573
The Secret Life of Walter Mitty,7.3,114,2013,Adventure Comedy Drama,58236838
Hunt for the Wilderpeople,7.8,101,2016,Adventure Comedy Drama,5202582
Rango,7.2,107,2011,Animation Action Adventure,123477607
Miss Peregrine's Home for Peculiar Children,6.7,127,2016,Adventure Drama Family,87242834
Hugo,7.5,126,2011,Adventure Drama Family,73864507
Maleficent,6.9,97,2014,Adventure Family Fantasy,241410378
Riddick,6.4,119,2013,Action Adventure Sci-Fi,42025135
Blood Diamond,8.0,143,2006,Adventure Drama Thriller,57366262
Green Lantern,5.5,114,2011,Action Adventure Sci-Fi,116601172
Enchanted,7.1,107,2007,Animation Adventure Comedy,127807262
The Chronicles of Riddick,6.6,119,2004,Action Adventure Sci-Fi,57761012
Miami Vice,6.0,132,2006,Action Adventure Crime,63450470
"Crouching Tiger, Hidden Dragon",7.9,120,2000,Action Adventure Drama,128078872
Godzilla: King of the Monsters,6.0,132,2019,Action Adventure Fantasy,110500138
From Russia with Love,7.4,115,1963,Action Adventure Thriller,24796765
The Last Airbender,4.0,103,2010,Action Adventure Family,131564731
