track_name,released_year,released_month,in_spotify_charts,mode,danceability_%,artist(s)
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022,11,20,Major,71,BTS Jung Kook FIFA Sound
Te Felicito,2022,4,9,Major,70,Shakira Rauw Alejandro
TV,2022,7,2,Minor,41,Billie Eilish
I'm Not The Only One,2014,1,3,Major,68,Sam Smith
Heather,2020,3,7,Major,47,Conan Gray
"Besharam Rang (From ""Pathaan"")",2022,12,4,Minor,77,Vishal-Shekhar Shilpa Rao Caralisa Monteiro Kumaar Vishal Dadlani Shekhar Ravjiani
One Kiss (with Dua Lipa),2017,6,10,Minor,79,Calvin Harris Dua Lipa
Sugar Rush Ride,2023,1,0,Minor,71,TOMORROW X TOGETHER
Pink Venom,2022,8,16,Major,80,BLACKPINK
WAIT FOR U (feat. Drake & Tems),2022,4,14,Major,46,Drake Future Tems
Don't Start Now,2019,10,0,Minor,79,Dua Lipa
After Dark,2014,8,14,Major,58,Mr.Kitty
Eu Gosto Assim - Ao Vivo,2022,9,4,Major,64,Gustavo Mioto Mari Fernandez
INDUSTRY BABY (feat. Jack Harlow),2021,7,0,Minor,74,Jack Harlow Lil Nas X
Atlantis,2015,4,6,Minor,40,Seafret
PUNTO 40,2022,9,12,Major,87,Baby Rasta Rauw Alejandro
Evoque Prata,2022,9,0,Major,87,DJ Escobar MC MENOR SG MC MENOR HR
How Do I Say Goodbye,2022,8,15,Major,40,Dean Lewis
Blind,2022,12,0,Minor,46,SZA
Die For You,2022,11,0,Major,47,Joji
Doja,2022,7,44,Major,91,Central Cee
Gatita,2022,10,0,Major,90,Bellakath
Rumble,2022,1,0,Minor,81,Skrillex Flowdan Fred again..
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],2022,12,0,Minor,49,Travis Scott 21 Savage Metro Boomin
Yonaguni,2021,6,28,Major,64,Bad Bunny
Super Freaky Girl,2022,8,0,Major,95,Nicki Minaj
Running Up That Hill (A Deal With God),1985,9,0,Minor,63,Kate Bush
Dream On,1973,1,0,Minor,39,Aerosmith
Limbo,2022,8,0,Minor,80,Freddie Dredd
Where Are You Now,2021,7,44,Minor,67,Lost Frequencies Calum Scott
WORTH NOTHING,2022,9,0,Minor,58,Twisted Oliver Tree
Bad Habits,2020,9,8,Minor,81,Ed Sheeran
KICK BACK,2022,10,4,Major,58,Kenshi Yonezu
Good Days,2020,12,2,Minor,46,SZA
Levitating (feat. DaBaby),2020,3,8,Minor,70,Dua Lipa DaBaby
Woman,2021,6,0,Minor,82,Doja Cat
Shut up My Moms Calling - (Sped Up),2022,9,7,Minor,65,Hotel Ugly
Ferrari,2022,3,28,Minor,84,James Hype Miggy Dela Rosa
"You're On Your Own, Kid",2022,10,2,Major,69,Taylor Swift
"Kesariya (From ""Brahmastra"")",2022,7,6,Major,58,Pritam Arijit Singh Amitabh Bhattacharya
Payphone,2012,1,4,Major,74,Maroon 5 Wiz Khalifa
All I Want for Christmas Is You,1994,10,0,Major,34,Mariah Carey
Last Christmas,1984,1,0,Minor,74,Wham!
Rockin' Around The Christmas Tree,1958,1,0,Major,70,Brenda Lee
Jingle Bell Rock,1957,1,0,Major,74,Bobby Helms
It's Beginning To Look A Lot Like Christmas,2011,10,0,Major,35,Michael Bubl�
Santa Tell Me,2013,12,0,Major,46,Ariana Grande
It's the Most Wonderful Time of the Year,1963,10,0,Major,24,Andy Williams
Let It Snow! Let It Snow! Let It Snow!,1959,11,0,Major,45,Dean Martin
Snowman,2017,1,0,Major,72,Sia
Underneath the Tree,2013,10,0,Major,51,Kelly Clarkson
Mistletoe,2011,1,0,Minor,67,Justin Bieber
Sleigh Ride,1963,11,0,Major,53,The Ronettes
Seek & Destroy,2022,12,0,Major,65,SZA
